iter	Passed	Remaining
0	150	149984
1	153	76442
2	154	51428
3	156	38926
4	157	31360
5	158	26277
6	160	22713
7	161	20023
8	163	18006
9	165	16362
10	167	15034
11	169	13922
12	171	12992
13	173	12201
14	174	11491
15	176	10877
16	179	10358
17	180	9848
18	181	9390
19	183	8975
20	184	8597
21	189	8434
22	195	8324
23	198	8056
24	200	7828
25	202	7576
26	205	7406
27	206	7181
28	208	6969
29	209	6769
30	210	6578
31	211	6400
32	213	6255
33	215	6108
34	216	5963
35	217	5820
36	218	5687
37	219	5563
38	220	5442
39	221	5327
40	223	5217
41	224	5121
42	225	5029
43	227	4951
44	229	4864
45	230	4784
46	231	4699
47	232	4617
48	233	4537
49	234	4462
50	236	4401
51	237	4336
52	239	4272
53	240	4218
54	241	4155
55	243	4097
56	244	4040
57	245	3983
58	246	3927
59	248	3888
60	249	3839
61	251	3797
62	252	3754
63	253	3707
64	254	3660
65	255	3615
66	256	3573
67	257	3526
68	258	3485
69	260	3466
70	262	3433
71	264	3403
72	265	3366
73	266	3331
74	267	3297
75	268	3264
76	269	3232
77	270	3201
78	272	3175
79	274	3151
80	275	3122
81	276	3093
82	277	3064
83	278	3035
84	279	3004
85	280	2979
86	281	2949
87	282	2924
88	284	2912
89	287	2906
90	288	2886
91	290	2866
92	291	2844
93	292	2822
94	294	2800
95	295	2779
96	296	2764
97	298	2744
98	299	2724
99	300	2703
100	301	2683
101	302	2659
102	303	2639
103	304	2620
104	305	2604
105	307	2596
106	309	2581
107	310	2564
108	311	2547
109	312	2530
110	313	2512
111	314	2495
112	315	2478
113	317	2463
114	318	2450
115	319	2437
116	321	2422
117	322	2407
118	322	2391
119	324	2376
120	325	2363
121	326	2349
122	327	2333
123	328	2319
124	329	2307
125	331	2297
126	332	2284
127	333	2269
128	334	2258
129	335	2246
130	336	2234
131	337	2222
132	338	2209
133	340	2199
134	341	2189
135	342	2178
136	344	2167
137	345	2156
138	346	2144
139	347	2132
140	348	2125
141	350	2116
142	351	2106
143	353	2100
144	354	2092
145	356	2083
146	357	2073
147	358	2063
148	359	2055
149	361	2045
150	362	2035
151	363	2025
152	364	2016
153	365	2007
154	367	2001
155	368	1993
156	369	1984
157	371	1978
158	372	1971
159	373	1962
160	374	1953
161	375	1944
162	377	1936
163	378	1930
164	380	1924
165	381	1918
166	384	1916
167	385	1908
168	386	1902
169	394	1926
170	396	1920
171	397	1915
172	406	1941
173	407	1935
174	409	1929
175	411	1924
176	412	1918
177	417	1927
178	418	1921
179	420	1915
180	421	1905
181	422	1898
182	423	1892
183	425	1886
184	427	1881
185	428	1876
186	430	1869
187	432	1868
188	434	1862
189	441	1882
190	443	1877
191	444	1872
192	446	1866
193	447	1860
194	450	1859
195	452	1857
196	454	1854
197	456	1847
198	457	1839
199	458	1833
200	459	1828
201	461	1823
202	463	1817
203	464	1811
204	465	1806
205	467	1801
206	468	1794
207	469	1788
208	470	1781
209	472	1776
210	473	1772
211	475	1765
212	476	1761
213	478	1756
214	479	1750
215	480	1743
216	481	1737
217	482	1730
218	483	1725
219	485	1719
220	486	1714
221	488	1710
222	489	1705
223	490	1699
224	491	1693
225	492	1688
226	494	1683
227	495	1677
228	496	1672
229	497	1666
230	498	1660
